"nome_setor","tipo_exame","comentario","nota","data_avaliacao","sentimento_regra"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Atendimento rápido e eficiente.",1,"2026-01-24","negativo"
"Ressonância Magnética","Ressonância Magnética do ombro","Demora para realização do exame.",3,"2025-12-11","neutro"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Demora para realização do exame.",2,"2026-01-06","negativo"
"Ressonância Magnética","Resssonância Magnética do joelho","Falta de comunicação na recepção.",1,"2026-01-05","negativo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Demora na entrega do laudo.",5,"2025-11-15","positivo"
"Ressonância Magnética","Resssonância Magnética do joelho","Atendimento rápido e eficiente.",4,"2026-01-18","positivo"
"Ressonância Magnética","Ressonância Magnética do crânio","Atendimento rápido e eficiente.",1,"2026-01-10","negativo"
"Ressonância Magnética","Ressonância Magnética do Abdomen","Demora para realização do exame.",5,"2026-01-21","positivo"
"Ressonância Magnética","Ressonância Magnética do ombro","Atendimento rápido e eficiente.",1,"2025-12-19","negativo"
"Ressonância Magnética","Ressonância Magnética do ombro","Falta de comunicação na recepção.",1,"2026-01-05","negativo"
"Ressonância Magnética","Ressonância Magnética da coluna","Equipe muito atenciosa durante o exame.",5,"2025-12-28","positivo"
