comentario,sentimento
Dra. Manisha Rajpal Singh Ela é muito inteligente. Nós realmente apreciamos sua gentileza e compaixão!,1
Ela possui a habilidade necessária para quem sofre de endometriose. Sua flexibilidade para se adaptar ao tratamento. Ela nos dá coragem!,1
Este feedback é a expressão da minha gratidão e experiência que pode ser benéfica para os pacientes e suas famílias.,1
"Os serviços hospitalares são muito bons. Hospital extremamente bem conservado, com uma excelente equipe de médicos com uma abordagem humana para com os pacientes, que não deixam pedra sobre pedra pelo paciente e estão ao seu lado na jornada para a recuperação.",1
"No geral, tive uma experiência muito boa e me senti em casa. Todos os funcionários cuidaram muito bem de mim. Estou muito grato a todos os funcionários que me ajudaram a recuperar, tratando-me com o máximo cuidado.",1
"O Fortis é um hospital muito confiável, onde cada paciente que visita o hospital é tratado como uma família. Desejo à equipe um grande sucesso, um futuro brilhante e boa velocidade.",1
"Toda a minha experiência de gravidez no Fortis foi fenomenal. Do pré-natal ao parto, minha experiência de ser mãe pela primeira vez foi a mais memorável. Obrigado, Gayatri D Kamath e equipe por tornar o dia mais feliz da minha vida ainda melhor!!",1
Excelente serviço. Tudo é bem cuidado pela equipe daqui. A comida também é boa. Quartos muito bem conservados. Estou totalmente satisfeito com os tratamentos e hospitalidade deste hospital. Muito obrigado equipe Fortis.,1
"Dra. Sheela é uma médica muito profissional e experiente. Boas instalações e o pessoal também é bom. No entanto, durante a liberação do seguro, você pode ter que enfrentar um pequeno problema. No geral, um hospital muito bom, com ótimas instalações.",1
"Dr. Raju, senhor e equipe são muito bons, e o atendimento de todos os funcionários é muito bom. As instalações do hospital são excelentes e precisas.",1
Vim para fazer uma cirurgia de ouvido para meu irmão com a Dra. Athira Ramakrishnan. Ela havia dado um tratamento excelente.,1
"Ela teve uma comunicação eficaz com o paciente e explicou tudo minuciosamente. Os serviços de enfermagem eram muito bons, estando sempre disponíveis. Muito feliz com os serviços prestados pelas equipes de apoio também. Todos os funcionários desempenharam muito bem suas funções. Obrigado a todos.",1
"Médicos e hospitais recomendados para cirurgias cardíacas. Dr. Vivek Jawali, Dr. Murali Manohar, Dr. Nikhil são excelentes médicos da equipe. Suraksha, Alida, Aneesha, equipes de apoio São extremamente atenciosos. A comida é higiênica e oportuna.",1
A Dra. Usha B R é muito experiente e conhecedora. Ela trata os pacientes como seus amigos. Construa essa confiança e crie um vínculo com os pacientes para deixá-los confortáveis.,1
"No geral, boa experiência com ela. Creche todas as equipes de enfermagem são muito atenciosas e sempre disponíveis. Obrigado à Dra. Usha e sua equipe.",1
Dr. Shabeer Ahmed forneceu tratamento imediato e isso me ajudou a me recuperar. As enfermeiras também são muito boas. Eles são muito prestativos e humildes.,1
"Muito satisfeito com o Dr. S S Praharaj. Muito bem, fizemos minha cirurgia. Super equipes de enfermagem. De manhã à noite, eles cuidaram com muita eficiência. Assim que apertarmos a campainha, eles sempre virão imediatamente. Equipe de alimentação e limpeza sempre pontual. No geral um bom serviço.",1
"A Dra. Usha B R é simpática e analisa a condição médica com muita eficiência. Ela tem cuidado muito bem. As equipes de enfermagem são muito cooperativas, graças especiais à irmã Shalini. Gostamos muito do meio ambiente e esperamos os melhores resultados. Obrigado a todos.",1
"O tratamento do hospital foi muito bom. Eles nos guiaram em cada passo. Os médicos, incluindo Gayathri kamat e Swetha mam, são muito bons e atenciosos. Foi bom fazer o tratamento no Fortis,",1
Sudha Vinod Menon é uma médica incrível. Ela nos explicou tudo corretamente. Todas as enfermeiras são muito boas e atenciosas,1
Minha esposa foi internada recentemente para uma emergência enquanto estava grávida. E estamos extremamente satisfeitos com todos os serviços prestados por médicos e enfermeiros desde o pronto-socorro até a alta,1
Agradecimentos especiais ao Dr. Chaitra e ao Dr. Mangala por um check-up completo e abordagem de tratamento diligente durante esta visita.,1
"Visitei a Dra. Usha do departamento de ginecologia do Fortis bannerghatta. O diagnóstico foi adequado e teve que passar por uma pequena cirurgia posteriormente. Fui bem tratado por todos os médicos e enfermeiros, todos foram muito cooperativos e prestativos.",1
Sou muito grato a este hospital e ao Dr. por curarem o problema de saúde do meu pai com seu tratamento habilidoso. Agradeço muito a todas as equipes médicas e equipe de enfermagem pelo comprometimento. Excelente serviço,1
Adoramos a hospitalidade dos funcionários e médicos. Eles são muito trabalhadores e se esforçam para garantir a boa saúde e segurança dos pacientes. Dr. Gayathri é um excelente médico que também fornece orientação e apoio emocional,1
"Tive uma visita de emergência ao hospital com meu pai, que ficou internado por alguns dias devido a uma cirurgia. Os médicos e funcionários do hospital tiveram o máximo cuidado. O melhor do hospital é que a equipe segue muito bem seus processos e protocolos.",1
Boa hospitalidade e serviços.,1
Ótimo hospital com padrões de qualidade.,1
"Chaya Patel é uma médica muito boa, conhecendo-a há 10 anos. Educado e experiente.",1
A enfermaria também era muito limpa e bem conservada (havíamos escolhido um quarto duplo compartilhado).,1
A equipe de pneumologistas fez um diagnóstico muito completo e sugeriu o melhor tratamento.,1
"Toda a minha experiência de gravidez no Fortis foi fenomenal. Do pré-natal ao parto, minha experiência de ser mãe pela primeira vez foi a mais memorável. Obrigado, Gayatri D Kamath e equipe por tornar o dia mais feliz da minha vida ainda melhor!!",1
Excelente serviço. Tudo é bem cuidado pela equipe daqui. A comida também é boa. Quartos muito bem conservados. Estou totalmente satisfeito com os tratamentos e hospitalidade deste hospital. Muito obrigado equipe Fortis.,1
"Dra. Sheela é uma médica muito profissional e experiente. Boas instalações e o pessoal também é bom. No entanto, durante a liberação do seguro, você pode ter que enfrentar um pequeno problema. No geral, um hospital muito bom, com ótimas instalações.",1
É uma grande organização e uma grande equipe de médicos e equipes de apoio que fazem um trabalho decente! O custo é um pouco mais alto.,1
"Eles foram um grande apoio durante os momentos difíceis. Os funcionários da noite foram excepcionais, sempre correndo para ajudar as pessoas, senti que estavam sobrecarregados de trabalho.",1
"Acima de tudo, excelente serviço e suporte. Todos os membros da equipe eram pessoas incríveis.",1
O hospital Aster possui os mais recentes sistemas e técnicas. O hospital é muito limpo e bem conservado.,1
Recomendo-os de todo o coração a qualquer pessoa que necessite de cuidados cardíacos. A sua combinação de experiência médica e compaixão genuína é verdadeiramente notável,1
"Eles são Mestres em Consultas, Tratamento de Serviços Laboratoriais e Especiais de Automóveis, graças às Equipes de Segurança e Seguros de UTI Emergenciais.",1
"Em geral, equipe prestativa e bom serviço.",1
"Pior hospital Só por causa de um bom médico viemos aqui, só que tudo aqui é pior.",0
Aster CMI é um dos melhores hospitais com boas instalações e os melhores consultores do sul da Índia.,1
Eu recomendaria fortemente este hospital para quem deseja tratamento de primeira classe e os melhores serviços administrativos.,1
Um dos melhores hospitais com boas instalações Fizemos exames de corpo inteiro para funcionários muito bons e funcionários simpáticos,1
Estávamos na enfermaria geral e não havia opção de chamada de enfermeira,0
Internada para tratamento de dengue com a médica brunda senhora médica tratou muito bem e me ajudou a conseguir melhora das plaquetas em pouco tempo,1
"Recebi vibrações positivas ao sair do hospital, eles forneceram um cartão de melhora logo para mim. Excelente serviço de tratamento.",1
"O apoio do posto de enfermagem é muito ruim, temos que acompanhar tudo.",0
"Eles apenas dizem que espere o médico chegar ou o teste começará, sem dados adequados que eles tenham.",0
"O fantástico médico de tratamento, nagamalesh, senhor, removeu dois blocos com sucesso e me deixou muito confortável durante o procedimento, um suporte incrível.",1
Dr somshekar é o melhor. Ele deu uma segunda vida à minha mãe.,1
Os funcionários são simpáticos e excelentes em qualquer serviço que prestam.,1
O atendimento ao paciente foi ótimo durante os primeiros dias. A equipe de enfermagem foi muito rápida em responder e muito amigável.,1
Visitas regulares dos médicos Excelente manutenção da casa.,1
A comida leva muito tempo para ser entregue A comida está novamente cara.,0
Já se passaram 7 meses desde o acidente e estou de pé. Obrigado ao Aster CMI por seus bons cuidados de saúde.,1
A experiência de registro foi rápida e descomplicada. Os laboratórios de diagnóstico também são bons.,1
"No geral, é um hospital bom e limpo, o que o torna um dos hospitais preferidos dos pacientes locais e internacionais.",1
Os médicos são os melhores da cidade e a ótima infraestrutura fazem deste hospital o preferido de todos.,1
Tive uma experiência muito boa com a médica do hospital Dra. Brinda Dr Lokesh e o cirurgião Dr. Santosh nu neuro.,1
Fiquei muito feliz e totalmente satisfeito com os preparativos pré-cirúrgicos/operações cirúrgicas e cuidados pós-operatórios.,1
Minha experiência com o hospital foi boa no geral.,1
O hospital possui boa infraestrutura e instalações.,1
"Quando se trata de médicos, eles têm muitos médicos experientes e bem informados.",1
Menção especial à equipe excepcional de enfermagem e outras equipes médicas e não médicas que eram muito atenciosas e cuidavam da criança de vez em quando.,1
"Especialmente o Sr. Rajesh cuidou da mãe como qualquer coisa Sempre que pedimos, ele ajudou e organizou Ótimo trabalho",1
Recentemente tive uma experiência positiva no Hospital Aster CMI.,1
Estou tão feliz que fizemos um transplante de rim para minha esposa no Hospital Aster. Posso dizer que é o melhor hospital com um serviço excelente.,1
"No geral, o hospital tem seguido uma boa manutenção e limpeza das enfermarias para garantir a higiene.",1
Visitou o departamento de oncologia médica O processo de consulta foi tranquilo Os funcionários foram educados e prestativos.,1
"No geral, foi um bom tratamento e os serviços também foram muito bons.",1
"Todo o departamento da Gynac, incluindo o pessoal do OPD de medicina fetal, enfermarias e enfermeiros, trabalhou de forma muito eficiente e eficaz ao longo do tempo.",1
"Minha esposa recebeu uma massagem gratuita após o parto, o que acelerou sua recuperação e foi muito relaxante para ela.",1
A equipe também organizou um corte surpresa de bolo para nós como parte da comemoração.,1
"O processo de admissão foi extremamente tranquilo, refletindo o compromisso do hospital com a eficiência e o conforto do paciente.",1
"A equipe manteve alto nível de profissionalismo e compaixão, fazendo com que eu me sentisse bem cuidado durante toda a minha estadia.",1
"Tive uma boa experiência com o Dr. sanjay Bhatt, que dá tempo para os pacientes entenderem seu problema e fornecerem a medicação e sugestões corretas.",1
Todo bom tratamento da equipe de cirurgia pediátrica.,1
Aster tem sido o lugar para todas as minhas necessidades médicas. Eles têm um dos melhores cuidados médicos que você pode obter.,1
A equipe é atenciosa e um dos hospitais mais eficientes que já visitei.,1
"As enfermeiras fizeram um excelente trabalho, especialmente Manjari Payal e Moushmi, que sempre atenderam com um sorriso quando necessário.",1
Não gostaria de recomendar este hospital a ninguém por causa da conta que preparam no momento da alta.,0
"Eu tinha um quarto individual privado, mas não foi limpo e a equipe foi muito rude",0
a comida não é saborosa e não é bem feita Isso definitivamente pode melhorar,0
minha esposa durante o tratamento recebeu grande apoio da equipe médica geral.,1
"Vim ao departamento de Radiologia para fazer ressonância magnética e tomografia computadorizada da minha esposa, foi feito de forma rápida e muito positiva.",1
Estou extremamente feliz pela maneira como ela está me ajudando em minha jornada para perder peso.,1
As instalações das salas gerais da enfermaria do serviço de alimentação das equipes de enfermagem eram excelentes.,1
Internado um dia para observação médica 1 semana antes do parto. Todo o processo novamente foi muito tranquilo.,1
"Todos os produtores foram tomados com muito cuidado, de forma organizada e suave.",1
A equipe de enfermagem de Shridhara deu imenso apoio e está feliz por ele.,1
"A ginecologista Bhavani senhora é boa no tratamento da comunicação e no tratamento, tudo é muito bom",1
"Aos enfermeiros da neuro UTI, enfermeiros do 5º andar (grite para Samima e Full), obrigado. Vocês fizeram um ótimo trabalho.",1
Tudo está tão bem coordenado que sou definitivamente um paciente feliz.,1
"funcionários e enfermeiras são bastante arrogantes e rudes, não são nada pontuais e acredito que se houvesse uma emergência grave, eles ainda chegariam atrasados.",0
o valor que estamos pagando não vale nada.,0
"Meu bebê foi internado no hospital e o tratamento foi bom, assim como os seguranças foram gentis e educados, especialmente Sangeeta e Shraddha.",1
"a equipe e os serviços de enfermagem são piores, devemos apenas implorar para tratar o paciente e informar para dar comprimidos ao paciente.",0
Muitos outros médicos e equipas de apoio ajudaram-nos a ultrapassar esta situação.,1
"se as enfermeiras não sabem fazer o seu trabalho, não deveriam poder trabalhar perto de um paciente.",0
"O hospital é muito limpo e bom e o médico Sr. Ravikumar C P trata nosso bebê em 3 dias, nosso bebê se sentiu melhor e tornou-se ativo.",1
Um dos melhores hospitais e boa resposta do Dr. Estou feliz com o atendimento e segurança. É bom ver que eles estão se comunicando com os participantes.,1
"A equipe é pronta em seus serviços Excelente equipe Agradecimentos especiais a Venamma Bom atendimento, local limpo.",1
Experiência muito ruim.,0
as pessoas que cuidam de seguros são MUITO DESCUIDADAS. Eles nem se preocupam com a tensão e as emergências do paciente.,0
Eles sempre dão comunicações ERRADAS. Esta é realmente uma parte muito triste do hospital.,0
Estamos muito felizes com o tratamento proporcionado pela tecnologia e pelos conselhos e preocupações dos médicos com os pacientes do ASTER CMI HOSPITAL.,1
Pior experiência no hospital Aster CMI,0
"Ela era excepcionalmente boa no tratamento dos pacientes. Com suas palavras suaves, ela deixava os pacientes preocupados confortáveis.",1
Eles estão enganando as pessoas ao não informarem adequadamente sobre os termos e condições.,0
A cirurgia correu muito bem e a recuperação está boa até agora.,1
"Pior hospital para acompanhar. Até tentei consulta ambulante, mas o médico não aceita pessoas ambulantes.",0
A assistência de enfermagem prestada pelas enfermeiras durante todos os plantões foi boa.,1
"A equipe de serviço de suporte também foi boa em seu trabalho. No geral, a experiência foi muito boa e mais uma vez obrigado a toda a equipe aster",1
Pior hospital e gestão,0
A equipe não é nada prestativa e não dá instruções claras,0
Também esperei uma hora com consulta confirmada e a senhora da recepção foi muito rude,0
Esta foi a pior experiência com um hospital em toda a Índia,0
Muito obrigado a todos os funcionários. Até eles comemoraram o aniversário da minha filha e o médico sênior Harish também participou.,1
Comida horrível A pior comida entre todos os hospitais que conheço em Bangalore.,0
"Pessoal de limpeza muito indiferente Eles virão limpar e substituir os lençóis às 5 da manhã, quando o paciente estiver dormindo",0
O exaustor do banheiro não estava funcionando. Isso é uma questão de segurança se você precisar usar o banheiro depois de outro paciente doente.,0
"No geral, o hospital é muito caro para o tipo de serviços e comodidades oferecidos.",1
Eu poderia facilmente dizer que o Aster CMI é o melhor hospital para crianças em toda Bangalore.,1
"A Dra Sapna Lulla foi muito simpática, tudo foi muito tranquilo.",1
"Muito conveniente, boa vaga de estacionamento Atendimento rápido na recepção Médicos bem formados / experientes Exame laboratorial na hora certa.",1
Eles cuidaram de tudo e deixaram o paciente absolutamente confortável.,1
Gostei muito da experiência geral. Os médicos seniores são realmente qualificados e precisos em seu diagnóstico/tratamento.,1
cuidar bem do serviço de alimentação do paciente.,1
O hospital é muito bom e o tratamento é rápido. Satisfeito com as instalações.,1
"Meu respeito e apreço por todas as enfermeiras, muito atenciosas. Muito bem, Aster.",1
A equipe de serviço de suporte também fez seu trabalho muito bem.,1
"Tivemos um dos melhores serviços prestados por todos os médicos e equipe de enfermagem, especialmente a irmã trivani foi a melhor ao seu serviço.",1
Estamos muito satisfeitos com o tratamento Durante sua permanência no hospital a equipe de Enfermagem,1
Os funcionários foram muito simpáticos e prestativos,1
Eu recomendo fortemente o hospital Aster pelo excelente atendimento ao paciente.,1
Toda a equipe de neurocirurgia é excelente e incrível. Agradecimentos especiais à Dra. Nirmala e a todos os outros médicos da UTI que cuidaram de mim,1
Todo o pessoal de enfermagem e outros funcionários também cooperaram e cuidaram bem de nós.,1
Todos os funcionários da recepção foram muito gentis e receptivos Eles estavam me orientando adequadamente com o procedimento,1
Estou muito feliz com o serviço prestado obrigado,1
Manjari da cantina nos prestou um bom serviço Ela mantém a comida na hora certa.,1
Todo o bom serviço do hospital e da equipe. Muito obrigado Hospital Aster CMI e equipe.,1
"Nunca vi essa má manutenção da casa. Mesmo após vários pedidos, eles não fornecem o que é solicitado.",0
Tivemos uma experiência maravilhosa no Hospital Aster CMI durante nossas consultas médicas para meu pai,1
Todos são cooperativos e prestativos. O tratamento é ótimo e o hospital é bom.,1
As irmãs daqui também cuidam bem dos pacientes e são educadas com os atendentes.,1
"Segurança da CCU Mamatha é muito educada, fala vários idiomas e é muito amigável.",1
As instalações aqui são muito boas e você tem a confiança de que será bem tratado quando estiver aqui e voltará saudável.,1
Estou extremamente impressionado com os serviços oferecidos no Hospital Aster cmi.,1
"As instalações eram modernas e bem conservadas, criando um ambiente confortável para os pacientes",1
Estou imensamente grato pela experiência positiva e excelente atendimento médico prestado pelo Hospital Aster cmi,1
Estamos muito felizes com a experiência e seremos eternamente gratos.,1
"Obrigado pelo hospital, tivemos um bom tratamento.",1
O paciente tem esperança e tem total fé de que será tratado e manterá boa saúde.,1
"Estou feliz por escolher este hospital, muito obrigado a todos pelo bom apoio",1
Leva muito tempo para dar relatório.,1
eles eram realmente pacientes e os cuidados de enfermagem eram realmente excelentes.,1
"O hospital Aster é excelente em Bangalore, com todos os bons serviços. Todos são bons e prestativos.",1
As equipes de enfermagem são muito preguiçosas,0
"O coordenador de andar, John, foi muito prestativo e a segurança também foi muito boa.",1
Pior profissional que trabalha.,0
"médico Akshay senhor e Pavan Kumar é uma pessoa gentil, ele tratará o paciente muito bem",1
"Estamos muito satisfeitos com o tratamento dele, ele nos explicou o tratamento que entendemos bem.",1
Existem várias salas de espera e cafés O hospital é muito limpo,1
"Mamatha é muito educada e fala vários idiomas e é muito amigável No geral, bom serviço",1
Indicaremos outras pessoas pois estamos totalmente satisfeitos com o atendimento e hospitalidade.,1
Hoje é a nossa alta e estamos felizes em sair daqui.,1
Obrigado ao Dr. Umesh e equipe. Todos os outros médicos e funcionários estão operacionais e prestando apoio. Estamos gratos pelo tratamento.,1
"Os medicamentos e a equipe de enfermagem são muito bons e cooperativos, tivemos uma boa experiência no hospital",1
"a equipe é rude, especialmente as enfermeiras e a equipe de cobrança, eles se comportam como se fossem donos do hospital",0
eles não atendem no pronto-socorro para que o paciente não melhore até se tornar um paciente ou cliente potencial.,0
Obrigado pelo bom tratamento. Cuidados de enfermagem são muito bons,1
Ótimo hospital Médicos incríveis Dr. Sahana cuidou muito bem de mim Enfermeiros e funcionários foram muito atenciosos.,1
teve atraso com a equipe de limpeza,0
Lakshmi foi muito prestativa na organização da varredura. APRECIO TODO SEU ESFORÇO,1
O serviço de limpeza não respondeu aos problemas nem se importou com os nossos problemas,0
Enfermeira Panchali no plantão noturno muito educada e simpática que faz com que o paciente se sinta caseiro.,1
não há atendentes de emergência lá.,0
Nenhuma enfermeira ou equipe respondeu bem ou prestou primeiros socorros.,0
Tive uma experiência muito sensível e carinhosa com meu pai,1
Esta é a primeira pior experiência para nós no hospital.,0
Dr Rajini senhora nos tratou muito bem Aster tem as melhores instalações para os pacientes,1
A cirurgia foi muito boa Tudo correu bem Ele está bem após a cirurgia Estamos felizes,1
A infraestrutura hospitalar é extremamente boa.,1
o médico era muito arrogante e quase se comportou como um hooligan Pessoas como ele não deveriam ser médicos,0
A jornada neste hospital correu bem e estamos muito felizes com o tratamento dela e com a natureza amigável da equipe.,1
"Os funcionários, desde a enfermagem até a limpeza, foram todos muito simpáticos e profissionais.",1
Obrigado a todos pelas suas ações imediatas que estão abrindo caminho para a recuperação da minha tia.,1
Eles prestam cuidados de boa qualidade. Os enfermeiros são muito simpáticos e os equipamentos são bons.,1
Todos os médicos e funcionários são cooperativos. Segurança Jyothi lakshmi fez um bom trabalho.,1
muito boa sobre dieta e ela deu um plano de dieta muito bom para minha doença.,1
Tive uma boa experiência com a equipe da aster Excelentes médicos Enfermeiras Departamento de lactação Nutricionista Auxiliares de enfermagem,1
Muito bom tratamento recebido Graças a Sir Sri P R Dayanidhi e Ishika Security Ayang Madam de Arunachal,1
A equipe de enfermagem é muito boa e educada e nos sentimos muito confortáveis. Muito obrigado por todo apoio e carinho,1
"no geral, bom tratamento e excelentes equipes médicas e de enfermagem.",1
Obrigado a toda equipe médica O tratamento é maravilhoso Estamos completamente satisfeitos,1
Médicos rudes Fisioterapeutas rudes Funcionários rudes Enfermeiras inexperientes,0
O pessoal do departamento de cobrança e admissão não tem coração e é muito rude.,0
O médico que conduziu a cirurgia do meu pai também foi rude e falou conosco de maneira arrogante.,0
As equipes de enfermagem também estão realmente envolvidas em seus cuidados e tratamento. A equipe de serviços de apoio também foi boa.,1
A Dra. Nishta realizou minha colposcopia e biópsia com tanta facilidade que me fez sentir muito confortável.,1
Obrigado mais uma vez pelo seu serviço excepcional e por tornar minha experiência de cirurgia do LCA positiva.,1
"O tratamento médico é bom, o cuidado da enfermeira é bom e os serviços de apoio são excelentes.",1
"Um bom trabalho é a sala do departamento de limpeza e a limpeza do banheiro é boa, especialmente os funcionários.",1
"A nutricionista Aruna Devi explicou muito bem que estamos muito satisfeitos com seu aconselhamento, ela deu um plano de dieta muito útil. Obrigado.",1
"O tratamento médico, a cura da enfermeira e o departamento de limpeza são muito excelentes, especialmente a equipe de Hong Kong.",1
O serviço de enfermagem também é bom. Obrigado por tudo. Obrigado pela equipe Ortho.,1
"Eles confirmaram minha consulta, mas ninguém responde.",0
É uma experiência ruim no geral.,0
O médico não teve tempo de ouvir meus problemas nem me explicou sobre as opções de tratamento,0
Falha total do sistema de gestão hospitalar e do treinamento básico de comunicação com o paciente.,0
Comportamento e atitude muito ruins demonstrados pelo médico Dr. Ashwin Kr.,0
"Este é o pior hospital. Em dois meses, meu pai internou três vezes e ainda assim o médico não consegue descobrir qual é o problema.",0
Os procedimentos de alta são muito lentos principalmente por causa dos enfermeiros devido à falta de compreensão e importância dos pacientes.,0
E também a irmã Leema foi muito prestativa ao explicar o seguro e foi gentil.,1
A enfermaria também era muito limpa e bem conservada.,1
Minha mãe foi tratada pelo Dr. Vivek Padegal e equipe. A equipe de pneumologistas fez um diagnóstico muito completo e sugeriu o melhor tratamento.,1
O tratamento e os cuidados de diagnóstico são bons.,1
Serviço incrível,1
Bom,1
É uma grande organização e uma grande equipe de médicos e equipes de apoio que fazem um trabalho decente! O custo é um pouco mais alto.,1
Estou muito feliz com estes serviços.,1
"Nirmala foi coordenou o caso do meu filho com muito conhecimento e apoio final, recomendo fortemente a hexa health.",1
O momento de admissão e alta para pacientes do seguro pode ser fornecido com mais clareza.,1
Bom serviço por dilip kumar,1
Então pior experiência.,0
os caras da recepção são piores. Eles fazem você esperar como o inferno.,0
"Conheci o Dr. Sagar C em Pneumologia. Estamos muito gratos a ele por sua orientação adequada. O agendamento de consultas on-line também foi útil, mas o estacionamento foi um desafio.",1
Fui ao hospital Narayana visitar a obstetra Dra. Janani sarvanan. Ela é literalmente um Deus totalmente invisível e para sempre indisponível.,0
Bom serviço do Dr. jagadish em nos ajudar a resolver nossos problemas dilip Kumar Na coordenação,1
Encontrei um excelente serviço de Rajeshwari de faturamento e MOD Soojanya. Gostaria de agradecer pelo apoio e ajuda maravilhosos.,1
Bom serviço do hospital erasree Peacefull O paciente se recuperará rapidamente.,1
Bom serviço por dilip kumar.,1
O tratamento do Dr. Sujith é muito bom. Ele analisará a doença do relatório para uma melhor cura.,1
Gostei muito do atendimento lá. Obrigado ao médico de emergência Abhishek e ao segurança de lá.,1
Bom hospital.,1
Bom atendimento da Dilip em nos ajudar na consulta.,1
Bom serviço por dilip.,1
O departamento de emergência é o pior O pior departamento de emergência que já vi em Bangalore.,0
O serviço geral e a resposta são muito bons,1
Nova excelente experiência Obrigado NH.,1
Bom serviço de dilip Kumar para nos ajudar a terminar as coisas mais rápido no OPD,1
Narayana deveria tentar educar seus funcionários sobre os protocolos de triagem porque o serviço não se parece com o de um hospital.,0
"Esta revisão não é especialmente sobre o hospital, por exemplo, eu marquei uma consulta presencial com ela há alguns meses para entender os riscos e uma consulta geral sobre educação sexual e cuidados contraceptivos a serem tomados.",0
"Foi a primeira vez que consultei um médico sozinho e, francamente, foi uma experiência horrível tê-la como minha médica naquele dia.",0
"Sinto-me obrigado a partilhar a minha experiência recente no vosso hospital e, infelizmente, esteve longe de ser satisfatória.",0
"o pior hospital de todos os tempos no mundo. por favor, se você estiver em uma emergência ou mesmo não em uma situação de emergência",0
O serviço é tão ridículo.,1
"Nenhuma resposta a nenhuma pergunta, mesmo quando o erro é deles. Eles apenas continuam repetindo os mesmos erros e no final a culpa é do paciente.",0
Foi uma experiência incrível e a equipe do balcão foi muito cooperativa e prestativa em todas as minhas necessidades no hospital. Obrigado,1
Dr pratibha Dermatologia Dr foi muito bom,1
Tivemos uma ótima experiência no hospital. Dr. Amarnath Reddy Sir é uma personalidade genial e um médico muito atencioso.,1
"Pior hospital, as pessoas lá dentro eram tão rudes e não estavam prontas para tratar o paciente, pense antes de visitar este hospital.",0
Fui ao Hospital Narayan pela primeira vez com meu pai. Quero compartilhar algumas experiências. Gostei muito do atendimento lá. Obrigado ao médico de emergência Abhishek.,1
Eles têm médicos especialistas que administram os medicamentos certos e ajudam os pacientes a se recuperarem rapidamente de exames médicos e a obterem os medicamentos necessários na farmácia.,1
Amigável ao paciente Cuidar bem do paciente e dar preferência Muito satisfeito ao longo de 10 meses de jornada Obrigado mais uma vez.,1
"Olá, obrigado por nos avaliar com 5 estrelas. Ficamos felizes em saber que você teve uma experiência positiva sob nossos cuidados. Equipe Take Care Narayana Health.",1
"Ele analisará a doença do relatório para uma melhor cura. Sua medicação é sempre eficaz, o bom médico para resfriado, asma e qualquer alergia relacionada à garganta. E também o apoio do hospital Narayani é muito bom.",1
"5 estrelas para a Dra. Manjula HM Ela tem sido super solidária e atenciosa durante toda a minha gravidez e garantiu o parto normal. Ela é maravilhosa profissionalmente e também pessoalmente, a atitude compassiva e humilde é a cereja do bolo.",1
Tive uma experiência incrível com a Dra. Manjula HM no Hospital Narayana HSR. Ela foi muito paciente comigo e me ajudou durante todas as minhas emergências médicas. O hospital também forneceu todas as instalações e suporte necessários.,1
Hospital muito limpo Dr. Abhinav senhor tão bom falar que ele explicou tudo sobre os problemas de saúde do meu filho de uma maneira muito clara.,1
"Eu havia realizado um teste de endoscopia e achei a experiência muito gerenciada e realizada por funcionários qualificados e empáticos do hospital. No geral, uma experiência muito confortável e profissional.",1
"Visitei este hospital para consultar o Dr. Karthik S N Medicina geral. Tive uma experiência muito boa. O hospital também oferece bons serviços, termo de avaliação, consulta de tratamento.",1
"Para começar, agradeço à irmã Shireen do OPD que ontem ajudou a marcar uma consulta com o Dr. Vijay como cidadão super-sênior. Não sei como marcar uma consulta on-line. Por favor, restaure nosso antigo tipo de reserva.",1
tendo tomado cuidado pessoal para me tratar bem e aconselhando futuras investigações. Elas foram realizadas pelo laboratório e pelo USG hoje com o máximo cuidado e pela equipe Sharmila e Anu Gowda por toda a ajuda que me ofereceram.,1
Visitei para tomar minha segunda dose e o processo foi muito tranquilo. A hospitalidade de todos os funcionários é realmente apreciável. Shanti tomou muito cuidado e forneceu todos os detalhes antes da vacinação. Obrigado.,1
Consultei o Dr. Saji sobre a lesão no quadril do meu pai. Foi uma experiência muito boa ter uma compreensão clara do problema e uma recomendação apropriada para o tratamento.,1
Este é um hospital muito bom Médicos muito bons e bom tratamento Vale o dinheiro cobrado Instalações higiênicas e boas.,1
Fiquei muito impressionado com a médica e a equipe foi simpática e prestativa. Consegui marcar uma consulta. Ela reservou um tempo para responder a todas as minhas perguntas e me senti confiante em sua capacidade de me ajudar.,1
"Coleta de amostras no prazo, pontual, atenciosa e cortês. Enfermagem bem atendida, prestando cuidados minuciosos. Médicos minuciosamente atenciosos, detalhados, bem explicando e orientando o Especialista.",1
"Detalhar minuciosamente, obter e ouvir pacientemente as informações do paciente e instruções claras. Custo razoável.",1
"O tratamento é realmente incrível Mas as taxas que você está cobrando são realmente muito altas, uma pessoa normal não pode pagar, por favor, faça alguma concessão para pessoas do grupo intermediário.",1
"Estava sofrendo de fortes dores de garganta há 5 dias. Consultei a Dra. Ria, otorrinolaringologista. Para minha surpresa, a dor quase desapareceu em 8 horas depois de tomar os remédios sugeridos por ela. A Dra. Ria até sugeriu como posso resolver meu problema de sono.",1
"Fui visitado no hospital na semana passada. É um hospital imaginário. Todos são muito prestativos, especialmente a Sra. Runa Das. Ela é muito prestativa e muito cooperativa. Nunca esqueço sua ajuda durante minha visita.",1
